14:16:22,108 ,2981.46 ,2746.15 ,2943.43 ,2955.17
14:16:22,112 ,2981.64 ,2746.18 ,2943.47 ,2955.09
14:16:22,116 ,2981.59 ,2746.18 ,2943.49 ,2955.18
14:16:22,120 ,2981.67 ,2746.23 ,2943.55 ,2955.20
14:16:22,124 ,2981.65 ,2746.30 ,2943.56 ,2955.28
14:16:22,128 ,2981.73 ,2746.36 ,2943.70 ,2955.26
14:16:23,132 ,2981.83 ,2746.37 ,2943.71 ,2955.31
14:16:23,136 ,2981.82 ,2746.44 ,2943.74 ,2955.37
14:16:23,140 ,2981.84 ,2746.43 ,2943.71 ,2955.45
14:16:23,144 ,2981.93 ,2746.45 ,2943.77 ,2955.42
14:16:23,148 ,2982.02 ,2746.54 ,2943.77 ,2955.43
14:16:23,152 ,2981.93 ,2746.54 ,2943.91 ,2955.55
14:16:24,156 ,2982.03 ,2746.57 ,2943.87 ,2955.55
14:16:24,160 ,2982.03 ,2746.71 ,2943.91 ,2955.56
14:16:24,164 ,2982.13 ,2746.73 ,2944.00 ,2955.57
14:16:24,168 ,2982.21 ,2746.76 ,2944.00 ,2955.65
14:16:24,172 ,2982.14 ,2746.81 ,2944.06 ,2955.76
14:16:24,176 ,2982.34 ,2746.83 ,2944.11 ,2955.77
14:16:25,180 ,2982.23 ,2746.89 ,2944.14 ,2955.73
14:16:25,184 ,2982.27 ,2746.87 ,2944.23 ,2955.93
14:16:25,188 ,2982.30 ,2746.94 ,2944.18 ,2955.94
14:16:25,192 ,2982.40 ,2746.93 ,2944.27 ,2955.95
14:16:25,196 ,2982.42 ,2747.03 ,2944.31 ,2955.95
14:16:25,200 ,2982.48 ,2747.00 ,2944.34 ,2955.98
14:16:26,204 ,2982.49 ,2747.08 ,2944.36 ,2956.08
14:16:26,208 ,2982.57 ,2747.11 ,2944.45 ,2956.12
14:16:26,212 ,2982.60 ,2747.16 ,2944.51 ,2956.10
14:16:26,216 ,2982.66 ,2747.18 ,2944.52 ,2956.18
14:16:26,220 ,2982.71 ,2747.23 ,2944.59 ,2956.20
14:16:26,224 ,2982.74 ,2747.33 ,2944.58 ,2956.23
14:16:27,228 ,2982.78 ,2747.27 ,2944.63 ,2956.34
14:16:27,232 ,2982.86 ,2747.39 ,2944.65 ,2956.33
14:16:27,236 ,2982.87 ,2747.38 ,2944.72 ,2956.42
14:16:27,240 ,2982.91 ,2747.51 ,2944.75 ,2956.47
14:16:27,244 ,2982.99 ,2747.53 ,2944.85 ,2956.46
14:16:27,248 ,2983.05 ,2747.55 ,2944.85 ,2956.58
14:16:28,252 ,2983.05 ,2747.54 ,2944.84 ,2956.59
14:16:28,256 ,2983.10 ,2747.62 ,2944.97 ,2956.55
14:16:28,260 ,2983.14 ,2747.63 ,2944.98 ,2956.66
14:16:28,264 ,2983.14 ,2747.62 ,2945.05 ,2956.64
14:16:28,268 ,2983.20 ,2747.63 ,2945.02 ,2956.74
14:16:28,272 ,2983.20 ,2747.74 ,2945.06 ,2956.75
14:16:29,276 ,2983.26 ,2747.75 ,2945.12 ,2956.79
14:16:29,280 ,2983.23 ,2747.81 ,2945.18 ,2956.83
14:16:29,284 ,2983.36 ,2747.91 ,2945.16 ,2956.83
14:16:29,288 ,2983.36 ,2747.87 ,2945.20 ,2956.90
14:16:29,292 ,2983.36 ,2747.87 ,2945.24 ,2957.00
14:16:29,296 ,2983.41 ,2747.90 ,2945.24 ,2957.01
14:16:30,300 ,2983.34 ,2747.98 ,2945.25 ,2956.95
14:16:30,304 ,2983.53 ,2747.95 ,2945.31 ,2956.97
14:16:30,308 ,2983.48 ,2748.04 ,2945.41 ,2957.08
14:16:30,312 ,2983.64 ,2748.06 ,2945.34 ,2957.07
14:16:30,316 ,2983.56 ,2748.08 ,2945.36 ,2957.06
14:16:30,320 ,2983.61 ,2748.07 ,2945.47 ,2957.07
14:16:31,324 ,2983.58 ,2748.12 ,2945.49 ,2957.15
14:16:31,328 ,2983.62 ,2748.09 ,2945.48 ,2957.21
14:16:31,332 ,2983.62 ,2748.20 ,2945.49 ,2957.10
14:16:31,336 ,2983.64 ,2748.08 ,2945.46 ,2957.20
14:16:31,340 ,2983.72 ,2748.17 ,2945.57 ,2957.29
14:16:31,344 ,2983.74 ,2748.29 ,2945.58 ,2957.27
14:16:32,348 ,2983.78 ,2748.26 ,2945.68 ,2957.33
14:16:32,352 ,2983.81 ,2748.35 ,2945.71 ,2957.34
14:16:32,356 ,2983.84 ,2748.29 ,2945.69 ,2957.36
14:16:32,360 ,2983.92 ,2748.36 ,2945.73 ,2957.38
14:16:32,364 ,2983.89 ,2748.33 ,2945.76 ,2957.53
14:16:32,368 ,2983.98 ,2748.40 ,2945.76 ,2957.46
14:16:33,372 ,2983.96 ,2748.43 ,2945.85 ,2957.53
14:16:33,376 ,2984.04 ,2748.51 ,2945.88 ,2957.55
14:16:33,380 ,2984.04 ,2748.57 ,2945.92 ,2957.55
14:16:33,384 ,2984.10 ,2748.62 ,2945.92 ,2957.63
14:16:33,388 ,2984.11 ,2748.54 ,2945.91 ,2957.63
14:16:33,392 ,2984.15 ,2748.57 ,2945.94 ,2957.64
14:16:34,396 ,2984.17 ,2748.61 ,2946.01 ,2957.65
14:16:34,400 ,2984.22 ,2748.65 ,2946.04 ,2957.72
14:16:35,0 ,2981.09 ,2745.20 ,2942.25 ,2953.75
14:16:35,4 ,2980.16 ,2744.84 ,2942.13 ,2953.65
14:16:35,8 ,2980.23 ,2744.86 ,2942.03 ,2953.76
14:16:35,12 ,2980.19 ,2744.96 ,2942.25 ,2953.84
14:16:36,16 ,2980.44 ,2745.10 ,2942.36 ,2953.96
14:16:36,20 ,2980.49 ,2745.22 ,2942.45 ,2954.12
14:16:36,24 ,2980.58 ,2745.25 ,2942.53 ,2954.13
14:16:36,28 ,2980.70 ,2745.37 ,2942.64 ,2954.21
14:16:36,32 ,2980.73 ,2745.35 ,2942.62 ,2954.27
14:16:36,36 ,2980.78 ,2745.48 ,2942.70 ,2954.31
14:16:37,40 ,2980.85 ,2745.43 ,2942.72 ,2954.38
14:16:37,44 ,2980.85 ,2745.47 ,2942.82 ,2954.41
14:16:37,48 ,2980.94 ,2745.57 ,2942.85 ,2954.50
14:16:37,52 ,2980.97 ,2745.60 ,2942.90 ,2954.52
14:16:37,56 ,2981.06 ,2745.71 ,2942.95 ,2954.55
14:16:37,60 ,2981.06 ,2745.72 ,2942.94 ,2954.63
14:16:38,64 ,2981.10 ,2745.82 ,2942.96 ,2954.68
14:16:38,68 ,2981.19 ,2745.78 ,2943.10 ,2954.70
14:16:38,72 ,2981.20 ,2745.82 ,2943.12 ,2954.73
14:16:38,76 ,2981.27 ,2745.89 ,2943.14 ,2954.81
14:16:38,80 ,2981.26 ,2745.95 ,2943.24 ,2954.87
14:16:38,84 ,2981.33 ,2745.98 ,2943.22 ,2954.82
14:16:39,88 ,2981.42 ,2745.97 ,2943.27 ,2954.91
14:16:39,92 ,2981.39 ,2746.03 ,2943.30 ,2954.96
14:16:39,96 ,2981.47 ,2746.11 ,2943.46 ,2955.01
14:16:39,100 ,2981.57 ,2746.12 ,2943.43 ,2955.05
14:16:39,104 ,2981.60 ,2746.16 ,2943.49 ,2955.08
14:16:39,108 ,2981.58 ,2746.17 ,2943.51 ,2955.18
14:16:40,112 ,2981.65 ,2746.25 ,2943.51 ,2955.19
14:16:40,116 ,2981.66 ,2746.31 ,2943.59 ,2955.21
14:16:40,120 ,2981.77 ,2746.31 ,2943.62 ,2955.22
14:16:40,124 ,2981.76 ,2746.37 ,2943.77 ,2955.36
